10.000000 -0.000000
9.978892 0.633768
9.916309 1.264905
9.813359 1.890777
9.671143 2.508808
9.490694 3.116714
9.273028 3.712303
9.019145 4.293380
8.729924 4.857699
8.406198 5.402993
8.048812 5.926975
7.658757 6.427127
7.237111 6.900804
6.785012 7.345425
6.304467 7.759275
5.798110 8.141263
5.268577 8.490319
4.718314 8.805497
4.149593 9.085961
3.564680 9.330878
2.965806 9.539335
2.355164 9.710321
1.734946 9.842820
1.107511 9.935782
0.475470 9.988101
-0.158545 9.998672
-0.791902 9.967091
-1.421969 9.894312
-2.046114 9.781445
-2.661819 9.629575
-3.266851 9.439727
-3.859019 9.212916
-4.436119 8.950120
-4.995894 8.652195
-5.536079 8.319972
-6.054350 7.954319
-6.548131 7.556265
-7.014777 7.126889
-7.451816 6.667440
-7.857801 6.180195
-8.231655 5.667798
-8.572322 5.132866
-8.878900 4.577775
-9.150556 4.004794
-9.386450 3.416185
-9.585634 2.814164
-9.747093 2.200921
-9.869810 1.578663
-9.952715 0.949830
-9.994700 0.317049
-9.994700 -0.317049
-9.952715 -0.949830
-9.869810 -1.578663
-9.747093 -2.200921
-9.585634 -2.814164
-9.386450 -3.416185
-9.150556 -4.004794
-8.878900 -4.577775
-8.572322 -5.132866
-8.231655 -5.667798
-7.857801 -6.180195
-7.451816 -6.667440
-7.014777 -7.126889
-6.548131 -7.556265
-6.054350 -7.954319
-5.536079 -8.319972
-4.995894 -8.652195
-4.436119 -8.950120
-3.859019 -9.212916
-3.266851 -9.439727
-2.661819 -9.629575
-2.046114 -9.781445
-1.421969 -9.894312
-0.791902 -9.967091
-0.158545 -9.998672
0.475470 -9.988101
1.107511 -9.935782
1.734946 -9.842820
2.355164 -9.710321
2.965806 -9.539335
3.564680 -9.330878
4.149593 -9.085961
4.718314 -8.805497
5.268577 -8.490319
5.798110 -8.141263
6.304467 -7.759275
6.785012 -7.345425
7.237111 -6.900804
7.658757 -6.427127
8.048812 -5.926975
8.406198 -5.402993
8.729924 -4.857699
9.019145 -4.293380
9.273028 -3.712303
9.490694 -3.116714
9.671143 -2.508808
9.813359 -1.890777
9.916309 -1.264905
9.978892 -0.633768
10.000000 -0.000000
