4 5 -35026170.16 -1367239.87 -0.999 -0.039 99.73 9.90
12 23 -3243075.58 -195184321.92 -0.017 -1.000 29.26 40.08
20 31 -95048260.53 -521841228.36 -0.179 -0.984 189.73 39.93
24 25 -1026569829.73 322475.72 -1.000 0.000 59.76 50.66
28 29 -999231510.26 106317138.75 -0.994 0.106 139.51 50.17
40 51 -5872116.52 -363254747.43 -0.016 -1.000 149.56 79.60
48 59 -33641184.85 -349261664.70 -0.096 -0.995 89.50 99.92
68 69 -102956233.17 -3292959.79 -0.999 -0.032 60.03 130.46
68 69 -857439537.41 -22162024.10 -1.000 -0.025 60.01 131.09
68 79 7889694.87 -186867007.86 0.042 -0.999 49.22 140.40
72 73 -272589897.02 -26023649.77 -0.995 -0.095 139.50 129.93
76 87 -20281962.39 -554435007.31 -0.037 -0.999 209.46 139.85
80 81 -337361671.81 48197386.28 -0.990 0.141 80.10 151.01
80 91 -12100269.27 -261509736.39 -0.046 -0.999 69.97 160.38
104 105 -1019325339.07 -9035304.11 -1.000 -0.009 119.64 190.80
129219028.80 -0.992 -0.126 79.80 189.55
102 103 -877404697.49 -152723266.68 -0.986 0.164 79.83 190.18
106 107 -715507806.70 -30072546.43 -0.999 -0.042 159.59 190.18
